dataset_name,seed,anomalies_fraction,normalies_ratio,comtaination_ratio,roc_auc,roc_pr
satellite,1,0.1,0,0,0.86021052,0.836414913
satellite,1,0.1,0,0.02,0.868706723,0.840626145
satellite,1,0.1,0,0.04,0.918754188,0.873918018
satellite,1,0.1,0,0.06,0.898682153,0.84260951
satellite,1,0.1,0,0.08,0.880103864,0.76020711
satellite,1,0.1,0,0.1,0.891274849,0.769627215
satellite,20,0.1,0,0,0.893609002,0.856426816
satellite,20,0.1,0,0.02,0.865412106,0.829144828
satellite,20,0.1,0,0.04,0.901183828,0.864049018
satellite,20,0.1,0,0.06,0.900904624,0.837812063
satellite,20,0.1,0,0.08,0.857943377,0.796234112
satellite,20,0.1,0,0.1,0.855486375,0.768006856
satellite,42,0.1,0,0,0.849857606,0.83583845
satellite,42,0.1,0,0.02,0.866467501,0.825839178
satellite,42,0.1,0,0.04,0.911606545,0.858929974
satellite,42,0.1,0,0.06,0.892193433,0.854666231
satellite,42,0.1,0,0.08,0.849045119,0.773017085
satellite,42,0.1,0,0.1,0.865428859,0.823956857
satellite,50,0.1,0,0,0.866978445,0.845422241
satellite,50,0.1,0,0.02,0.840241791,0.788242859
satellite,50,0.1,0,0.04,0.902322984,0.858845015
satellite,50,0.1,0,0.06,0.870231182,0.824562114
satellite,50,0.1,0,0.08,0.842863525,0.752833384
satellite,50,0.1,0,0.1,0.875703596,0.821401462
satellite,99,0.1,0,0,0.877496091,0.84829064
satellite,99,0.1,0,0.02,0.88889044,0.848855902
satellite,99,0.1,0,0.04,0.856656243,0.807926313
satellite,99,0.1,0,0.06,0.837410654,0.737389961
satellite,99,0.1,0,0.08,0.839529819,0.75581518
satellite,99,0.1,0,0.1,0.831044784,0.707789086
satellite,101,0.1,0,0,0.889820192,0.847540957
satellite,101,0.1,0,0.02,0.904911213,0.857279061
satellite,101,0.1,0,0.04,0.874893902,0.827687711
satellite,101,0.1,0,0.06,0.873749162,0.782969387
satellite,101,0.1,0,0.08,0.885316618,0.811783281
satellite,101,0.1,0,0.1,0.846336833,0.710369636
satellite,135,0.1,0,0,0.863812263,0.832936406
satellite,135,0.1,0,0.02,0.897788698,0.851413754
satellite,135,0.1,0,0.04,0.872057181,0.832929455
satellite,135,0.1,0,0.06,0.88886252,0.843465384
satellite,135,0.1,0,0.08,0.887689859,0.758143424
satellite,135,0.1,0,0.1,0.877800424,0.819009543
satellite,145,0.1,0,0,0.906726044,0.870528518
satellite,145,0.1,0,0.02,0.872769153,0.839304197
satellite,145,0.1,0,0.04,0.878319745,0.822342314
satellite,145,0.1,0,0.06,0.890096605,0.81943529
satellite,145,0.1,0,0.08,0.84374302,0.76775443
satellite,145,0.1,0,0.1,0.860743802,0.797071032
satellite,165,0.1,0,0,0.885288698,0.862657177
satellite,165,0.1,0,0.02,0.868826781,0.836363914
satellite,165,0.1,0,0.04,0.908443154,0.853762347
satellite,165,0.1,0,0.06,0.900402055,0.834569768
satellite,165,0.1,0,0.08,0.853171767,0.729397361
satellite,165,0.1,0,0.1,0.778400715,0.639303207
satellite,200,0.1,0,0,0.916475877,0.878344265
satellite,200,0.1,0,0.02,0.854626424,0.803791871
satellite,200,0.1,0,0.04,0.880877262,0.842471869
satellite,200,0.1,0,0.06,0.866163167,0.801825478
satellite,200,0.1,0,0.08,0.879193656,0.77154328
satellite,200,0.1,0,0.1,0.836433438,0.729349052
