dataset_name,seed,anomalies_fraction,normalies_ratio,comtaination_ratio,roc_auc,roc_pr
multi_har,1,0.1,0,0,0.985622622,0.968400521
multi_har,1,0.1,0,0.02,0.977680733,0.94000388
multi_har,1,0.1,0,0.04,0.939292056,0.821310756
multi_har,1,0.1,0,0.06,0.981540413,0.947641436
multi_har,1,0.1,0,0.08,0.949784388,0.897577161
multi_har,1,0.1,0,0.1,0.978241093,0.952498566
multi_har,20,0.1,0,0,0.993748991,0.985078495
multi_har,20,0.1,0,0.02,0.994583766,0.987794703
multi_har,20,0.1,0,0.04,0.976526,0.951963344
multi_har,20,0.1,0,0.06,0.97571198,0.946374895
multi_har,20,0.1,0,0.08,0.974833391,0.94593518
multi_har,20,0.1,0,0.1,0.980457742,0.956823955
multi_har,42,0.1,0,0,0.992071371,0.979447755
multi_har,42,0.1,0,0.02,0.986148968,0.965668946
multi_har,42,0.1,0,0.04,0.975741958,0.942024913
multi_har,42,0.1,0,0.06,0.968516084,0.923936274
multi_har,42,0.1,0,0.08,0.9621786,0.915650369
multi_har,42,0.1,0,0.1,0.967335985,0.931316901
multi_har,50,0.1,0,0,0.991080364,0.979827941
multi_har,50,0.1,0,0.02,0.989233829,0.977399284
multi_har,50,0.1,0,0.04,0.974268419,0.950484263
multi_har,50,0.1,0,0.06,0.981836158,0.960308093
multi_har,50,0.1,0,0.08,0.968209962,0.929943803
multi_har,50,0.1,0,0.1,0.983962873,0.95828501
multi_har,99,0.1,0,0,0.993342557,0.984950993
multi_har,99,0.1,0,0.02,0.986275798,0.969704511
multi_har,99,0.1,0,0.04,0.986778508,0.968887942
multi_har,99,0.1,0,0.06,0.967548138,0.922142094
multi_har,99,0.1,0,0.08,0.972273147,0.93822987
multi_har,99,0.1,0,0.1,0.970246166,0.938565058
multi_har,101,0.1,0,0,0.97471002,0.952289416
multi_har,101,0.1,0,0.02,0.978934048,0.957593973
multi_har,101,0.1,0,0.04,0.964605673,0.93370415
multi_har,101,0.1,0,0.06,0.970410469,0.917615695
multi_har,101,0.1,0,0.08,0.976073446,0.933541466
multi_har,101,0.1,0,0.1,0.962102502,0.903304475
multi_har,135,0.1,0,0,0.988595065,0.974145272
multi_har,135,0.1,0,0.02,0.983759945,0.960569396
multi_har,135,0.1,0,0.04,0.968458434,0.9314513
multi_har,135,0.1,0,0.06,0.978308544,0.929982308
multi_har,135,0.1,0,0.08,0.909469618,0.731756631
multi_har,135,0.1,0,0.1,0.970134901,0.925714568
multi_har,145,0.1,0,0,0.987892309,0.972027077
multi_har,145,0.1,0,0.02,0.966841923,0.938419422
multi_har,145,0.1,0,0.04,0.945927591,0.917848708
multi_har,145,0.1,0,0.06,0.958481494,0.912714805
multi_har,145,0.1,0,0.08,0.943298743,0.890367857
multi_har,145,0.1,0,0.1,0.929260925,0.871143454
multi_har,165,0.1,0,0,0.986238326,0.969645597
multi_har,165,0.1,0,0.02,0.983842384,0.969544211
multi_har,165,0.1,0,0.04,0.987181483,0.963453546
multi_har,165,0.1,0,0.06,0.98642223,0.965682638
multi_har,165,0.1,0,0.08,0.982511818,0.955522641
multi_har,165,0.1,0,0.1,0.944909489,0.89326983
multi_har,200,0.1,0,0,0.994361813,0.985656951
multi_har,200,0.1,0,0.02,0.980850917,0.956701513
multi_har,200,0.1,0,0.04,0.95209616,0.915733075
multi_har,200,0.1,0,0.06,0.97681771,0.945436081
multi_har,200,0.1,0,0.08,0.978841808,0.956164056
multi_har,200,0.1,0,0.1,0.960679119,0.916678587
