dataset_name,seed,anomalies_fraction,normalies_ratio,comtaination_ratio,roc_auc,roc_pr
multi_annthyroid,1,0.01,0,0.04,0.672032876,0.203301882
multi_annthyroid,1,0.05,0,0.04,0.722377218,0.267492681
multi_annthyroid,1,0.1,0,0.04,0.810523802,0.421913505
multi_annthyroid,1,0.15,0,0.04,0.881830292,0.530091103
multi_annthyroid,1,0.5,0,0.04,0.921178304,0.592513221
multi_annthyroid,20,0.01,0,0.04,0.685907103,0.148662174
multi_annthyroid,20,0.05,0,0.04,0.731161715,0.213073571
multi_annthyroid,20,0.1,0,0.04,0.718104358,0.334619279
multi_annthyroid,20,0.15,0,0.04,0.829060474,0.407206463
multi_annthyroid,20,0.5,0,0.04,0.902415423,0.505471434
multi_annthyroid,42,0.01,0,0.04,0.671819233,0.136006597
multi_annthyroid,42,0.05,0,0.04,0.805848791,0.354676429
multi_annthyroid,42,0.1,0,0.04,0.865404916,0.477721832
multi_annthyroid,42,0.15,0,0.04,0.857927412,0.437507853
multi_annthyroid,42,0.5,0,0.04,0.938508521,0.640844385
multi_annthyroid,50,0.01,0,0.04,0.720768612,0.246177647
multi_annthyroid,50,0.05,0,0.04,0.765080682,0.241104478
multi_annthyroid,50,0.1,0,0.04,0.766060926,0.282255089
multi_annthyroid,50,0.15,0,0.04,0.863997386,0.494817853
multi_annthyroid,50,0.5,0,0.04,0.913411753,0.454454244
multi_annthyroid,99,0.01,0,0.04,0.732380737,0.224028006
multi_annthyroid,99,0.05,0,0.04,0.638867943,0.128269715
multi_annthyroid,99,0.1,0,0.04,0.758960438,0.280041079
multi_annthyroid,99,0.15,0,0.04,0.734341226,0.2562914
multi_annthyroid,99,0.5,0,0.04,0.809644096,0.356486626
multi_annthyroid,101,0.01,0,0.04,0.698411502,0.304349026
multi_annthyroid,101,0.05,0,0.04,0.61534208,0.105700699
multi_annthyroid,101,0.1,0,0.04,0.82802996,0.352299176
multi_annthyroid,101,0.15,0,0.04,0.83939074,0.383013941
multi_annthyroid,101,0.5,0,0.04,0.915070628,0.613554216
multi_annthyroid,135,0.01,0,0.04,0.672321922,0.190452281
multi_annthyroid,135,0.05,0,0.04,0.853063892,0.541259771
multi_annthyroid,135,0.1,0,0.04,0.885411954,0.591936787
multi_annthyroid,135,0.15,0,0.04,0.909465641,0.571889301
multi_annthyroid,135,0.5,0,0.04,0.898343638,0.530177226
multi_annthyroid,145,0.01,0,0.04,0.62293269,0.120586767
multi_annthyroid,145,0.05,0,0.04,0.625270196,0.122544854
multi_annthyroid,145,0.1,0,0.04,0.777735887,0.338161826
multi_annthyroid,145,0.15,0,0.04,0.83244106,0.441323553
multi_annthyroid,145,0.5,0,0.04,0.844103453,0.464467455
multi_annthyroid,165,0.01,0,0.04,0.705637661,0.136262992
multi_annthyroid,165,0.05,0,0.04,0.747813301,0.171247005
multi_annthyroid,165,0.1,0,0.04,0.828846831,0.361756424
multi_annthyroid,165,0.15,0,0.04,0.815211381,0.35810921
multi_annthyroid,165,0.5,0,0.04,0.832252551,0.366289242
multi_annthyroid,200,0.01,0,0.04,0.623259438,0.150255263
multi_annthyroid,200,0.05,0,0.04,0.732204796,0.325388169
multi_annthyroid,200,0.1,0,0.04,0.778251144,0.282319072
multi_annthyroid,200,0.15,0,0.04,0.875911125,0.638429898
multi_annthyroid,200,0.5,0,0.04,0.926268034,0.601175166
