dataset_name,seed,anomalies_fraction,normalies_ratio,comtaination_ratio,roc_auc,roc_pr
multi_cardio,1,0.01,0,0.04,0.880767752,0.764551397
multi_cardio,1,0.05,0,0.04,0.94690464,0.933153474
multi_cardio,1,0.1,0,0.04,0.943379903,0.904216029
multi_cardio,1,0.15,0,0.04,0.985965137,0.971390568
multi_cardio,1,0.5,0,0.04,0.992213535,0.980478103
multi_cardio,20,0.01,0,0.04,0.824115611,0.609807742
multi_cardio,20,0.05,0,0.04,0.941553448,0.889852283
multi_cardio,20,0.1,0,0.04,0.974269418,0.943901384
multi_cardio,20,0.15,0,0.04,0.985228147,0.97515852
multi_cardio,20,0.5,0,0.04,0.962349398,0.91274046
multi_cardio,42,0.01,0,0.04,0.858882338,0.748403478
multi_cardio,42,0.05,0,0.04,0.973692643,0.926737913
multi_cardio,42,0.1,0,0.04,0.98327352,0.94865604
multi_cardio,42,0.15,0,0.04,0.967924891,0.928518241
multi_cardio,42,0.5,0,0.04,0.99602666,0.989474649
multi_cardio,50,0.01,0,0.04,0.948602922,0.91595617
multi_cardio,50,0.05,0,0.04,0.981703409,0.964980745
multi_cardio,50,0.1,0,0.04,0.941585491,0.869883589
multi_cardio,50,0.15,0,0.04,0.982280185,0.943828286
multi_cardio,50,0.5,0,0.04,0.987599334,0.967749908
multi_cardio,99,0.01,0,0.04,0.663932325,0.310067658
multi_cardio,99,0.05,0,0.04,0.908741348,0.850007344
multi_cardio,99,0.1,0,0.04,0.954915406,0.907226656
multi_cardio,99,0.15,0,0.04,0.95328121,0.877861848
multi_cardio,99,0.5,0,0.04,0.971417585,0.929396769
multi_cardio,101,0.01,0,0.04,0.987887721,0.968439455
multi_cardio,101,0.05,0,0.04,0.957286593,0.919851919
multi_cardio,101,0.1,0,0.04,0.98558062,0.964132034
multi_cardio,101,0.15,0,0.04,0.967572417,0.931162886
multi_cardio,101,0.5,0,0.04,0.946391951,0.878924067
multi_cardio,135,0.01,0,0.04,0.979364266,0.949017446
multi_cardio,135,0.05,0,0.04,0.998333761,0.994335296
multi_cardio,135,0.1,0,0.04,0.96206101,0.921888097
multi_cardio,135,0.15,0,0.04,0.950685722,0.899317823
multi_cardio,135,0.5,0,0.04,0.947962061,0.871278013
multi_cardio,145,0.01,0,0.04,0.923737503,0.811380022
multi_cardio,145,0.05,0,0.04,0.852922328,0.813100792
multi_cardio,145,0.1,0,0.04,0.982728787,0.963275884
multi_cardio,145,0.15,0,0.04,0.957510895,0.912434923
multi_cardio,145,0.5,0,0.04,0.923673417,0.877938513
multi_cardio,165,0.01,0,0.04,0.605261471,0.279250427
multi_cardio,165,0.05,0,0.04,0.962285311,0.913156421
multi_cardio,165,0.1,0,0.04,0.979220072,0.927575269
multi_cardio,165,0.15,0,0.04,0.926172776,0.842744705
multi_cardio,165,0.5,0,0.04,0.958632402,0.874144249
multi_cardio,200,0.01,0,0.04,0.876698282,0.790650489
multi_cardio,200,0.05,0,0.04,0.957735196,0.928129085
multi_cardio,200,0.1,0,0.04,0.98923353,0.973187441
multi_cardio,200,0.15,0,0.04,0.9736606,0.934001514
multi_cardio,200,0.5,0,0.04,0.977665983,0.93891382
