dataset_name,seed,anomalies_fraction,normalies_ratio,comtaination_ratio,roc_auc,roc_pr
multi_har,1,0.01,0,0.04,0.891539836,0.665973372
multi_har,1,0.05,0,0.04,0.985363773,0.964419693
multi_har,1,0.1,0,0.04,0.986226219,0.963612827
multi_har,1,0.15,0,0.04,0.991207771,0.977097421
multi_har,1,0.5,0,0.04,0.986703563,0.963273862
multi_har,20,0.01,0,0.04,0.995405281,0.989289704
multi_har,20,0.05,0,0.04,0.986973942,0.971131683
multi_har,20,0.1,0,0.04,0.986848841,0.967110544
multi_har,20,0.15,0,0.04,0.985009801,0.966006159
multi_har,20,0.5,0,0.04,0.984493255,0.959685012
multi_har,42,0.01,0,0.04,0.986734694,0.961635585
multi_har,42,0.05,0,0.04,0.98015162,0.948335396
multi_har,42,0.1,0,0.04,0.993388678,0.983047348
multi_har,42,0.15,0,0.04,0.889805719,0.697096372
multi_har,42,0.5,0,0.04,0.983923095,0.96180609
multi_har,50,0.01,0,0.04,0.96989623,0.942139022
multi_har,50,0.05,0,0.04,0.98841462,0.969300131
multi_har,50,0.1,0,0.04,0.986086129,0.96440137
multi_har,50,0.15,0,0.04,0.926632077,0.820376815
multi_har,50,0.5,0,0.04,0.983848726,0.962116696
multi_har,99,0.01,0,0.04,0.979315116,0.957476885
multi_har,99,0.05,0,0.04,0.985905108,0.963890763
multi_har,99,0.1,0,0.04,0.983381759,0.949727881
multi_har,99,0.15,0,0.04,0.98555863,0.967542436
multi_har,99,0.5,0,0.04,0.990637034,0.974924465
multi_har,101,0.01,0,0.04,0.965030555,0.920880526
multi_har,101,0.05,0,0.04,0.982672662,0.950461256
multi_har,101,0.1,0,0.04,0.965483685,0.904818558
multi_har,101,0.15,0,0.04,0.98903263,0.969205601
multi_har,101,0.5,0,0.04,0.908072755,0.762876785
multi_har,135,0.01,0,0.04,0.978540297,0.941802782
multi_har,135,0.05,0,0.04,0.989190591,0.970245765
multi_har,135,0.1,0,0.04,0.980095699,0.942761097
multi_har,135,0.15,0,0.04,0.986425112,0.964167849
multi_har,135,0.5,0,0.04,0.912565433,0.759205434
multi_har,145,0.01,0,0.04,0.964036666,0.918427308
multi_har,145,0.05,0,0.04,0.98946443,0.968561675
multi_har,145,0.1,0,0.04,0.97256428,0.937566333
multi_har,145,0.15,0,0.04,0.974321457,0.926624511
multi_har,145,0.5,0,0.04,0.983543756,0.954212119
multi_har,165,0.01,0,0.04,0.959731927,0.885681581
multi_har,165,0.05,0,0.04,0.987748761,0.965528761
multi_har,165,0.1,0,0.04,0.983056036,0.958743892
multi_har,165,0.15,0,0.04,0.982493947,0.956095697
multi_har,165,0.5,0,0.04,0.972730312,0.923033097
multi_har,200,0.01,0,0.04,0.976414735,0.947072551
multi_har,200,0.05,0,0.04,0.969116799,0.926238831
multi_har,200,0.1,0,0.04,0.990033437,0.975728507
multi_har,200,0.15,0,0.04,0.972561974,0.937865102
multi_har,200,0.5,0,0.04,0.980899343,0.955536328
