dataset_name,seed,anomalies_fraction,normalies_ratio,comtaination_ratio,roc_auc,roc_pr
annthyroid,1,0.1,0,0,0.878595817,0.633132675
annthyroid,1,0.1,0,0.02,0.858740386,0.59604659
annthyroid,1,0.1,0,0.04,0.822422895,0.498877613
annthyroid,1,0.1,0,0.06,0.849261381,0.547868826
annthyroid,1,0.1,0,0.08,0.836227749,0.497415877
annthyroid,1,0.1,0,0.1,0.814051644,0.512701689
annthyroid,20,0.1,0,0,0.948096837,0.673028332
annthyroid,20,0.1,0,0.02,0.918005202,0.602396372
annthyroid,20,0.1,0,0.04,0.866291339,0.518526753
annthyroid,20,0.1,0,0.06,0.907558665,0.617444612
annthyroid,20,0.1,0,0.08,0.852325231,0.517739274
annthyroid,20,0.1,0,0.1,0.895156032,0.525724345
annthyroid,42,0.1,0,0,0.918390813,0.658648782
annthyroid,42,0.1,0,0.02,0.845405277,0.514142719
annthyroid,42,0.1,0,0.04,0.81492102,0.483387087
annthyroid,42,0.1,0,0.06,0.830780125,0.498581026
annthyroid,42,0.1,0,0.08,0.836529226,0.465572734
annthyroid,42,0.1,0,0.1,0.834201541,0.434225579
annthyroid,50,0.1,0,0,0.975510233,0.759064148
annthyroid,50,0.1,0,0.02,0.881309112,0.528343856
annthyroid,50,0.1,0,0.04,0.814451276,0.407348597
annthyroid,50,0.1,0,0.06,0.865450007,0.505093452
annthyroid,50,0.1,0,0.08,0.860023417,0.503487515
annthyroid,50,0.1,0,0.1,0.847648828,0.479304974
annthyroid,99,0.1,0,0,0.83802259,0.505284757
annthyroid,99,0.1,0,0.02,0.878112051,0.5519573
annthyroid,99,0.1,0,0.04,0.841773527,0.513393297
annthyroid,99,0.1,0,0.06,0.821027687,0.464448399
annthyroid,99,0.1,0,0.08,0.84957688,0.477472856
annthyroid,99,0.1,0,0.1,0.848658426,0.513986598
annthyroid,101,0.1,0,0,0.9190148,0.609128136
annthyroid,101,0.1,0,0.02,0.821553519,0.471994812
annthyroid,101,0.1,0,0.04,0.849625958,0.508489357
annthyroid,101,0.1,0,0.06,0.845524465,0.50507349
annthyroid,101,0.1,0,0.08,0.756287203,0.349275264
annthyroid,101,0.1,0,0.1,0.768787991,0.421705712
annthyroid,135,0.1,0,0,0.908638375,0.593030161
annthyroid,135,0.1,0,0.02,0.879163716,0.537297196
annthyroid,135,0.1,0,0.04,0.851981687,0.521514212
annthyroid,135,0.1,0,0.06,0.839354698,0.39092047
annthyroid,135,0.1,0,0.08,0.81562213,0.409126801
annthyroid,135,0.1,0,0.1,0.818195203,0.42862062
annthyroid,145,0.1,0,0,0.832708177,0.46670635
annthyroid,145,0.1,0,0.02,0.855234837,0.502620354
annthyroid,145,0.1,0,0.04,0.839922597,0.488135132
annthyroid,145,0.1,0,0.06,0.81319629,0.386539257
annthyroid,145,0.1,0,0.08,0.793649347,0.343842989
annthyroid,145,0.1,0,0.1,0.853748484,0.514991969
annthyroid,165,0.1,0,0,0.955241147,0.725859597
annthyroid,165,0.1,0,0.02,0.815159397,0.501240669
annthyroid,165,0.1,0,0.04,0.856861412,0.51273281
annthyroid,165,0.1,0,0.06,0.813112157,0.46574617
annthyroid,165,0.1,0,0.08,0.82787753,0.481373649
annthyroid,165,0.1,0,0.1,0.804537583,0.398322292
annthyroid,200,0.1,0,0,0.922303006,0.572928343
annthyroid,200,0.1,0,0.02,0.803387763,0.400775292
annthyroid,200,0.1,0,0.04,0.782473656,0.382863938
annthyroid,200,0.1,0,0.06,0.819639489,0.447978842
annthyroid,200,0.1,0,0.08,0.800527235,0.394323245
annthyroid,200,0.1,0,0.1,0.754310073,0.3200291
