dataset_name,seed,anomalies_fraction,normalies_ratio,comtaination_ratio,roc_auc,roc_pr
cardio,1,0.1,0,0,0.969965577,0.893029127
cardio,1,0.1,0,0.02,0.894492255,0.847591762
cardio,1,0.1,0,0.04,0.863597246,0.749109504
cardio,1,0.1,0,0.06,0.82444062,0.71095687
cardio,1,0.1,0,0.08,0.931239243,0.771799938
cardio,1,0.1,0,0.1,0.903614458,0.635822771
cardio,20,0.1,0,0,0.963425129,0.937469607
cardio,20,0.1,0,0.02,0.927710843,0.787443554
cardio,20,0.1,0,0.04,0.856798623,0.592676668
cardio,20,0.1,0,0.06,0.872375215,0.685281777
cardio,20,0.1,0,0.08,0.742254733,0.472404115
cardio,20,0.1,0,0.1,0.748192771,0.451398002
cardio,42,0.1,0,0,0.983648881,0.894990355
cardio,42,0.1,0,0.02,0.894836489,0.72109839
cardio,42,0.1,0,0.04,0.764199656,0.583252994
cardio,42,0.1,0,0.06,0.887951807,0.655669293
cardio,42,0.1,0,0.08,0.848106713,0.641128464
cardio,42,0.1,0,0.1,0.861445783,0.671153548
cardio,50,0.1,0,0,0.936746988,0.876238699
cardio,50,0.1,0,0.02,0.854130809,0.746152863
cardio,50,0.1,0,0.04,0.814716007,0.647990754
cardio,50,0.1,0,0.06,0.777796902,0.634027669
cardio,50,0.1,0,0.08,0.83373494,0.60639554
cardio,50,0.1,0,0.1,0.708519793,0.512882988
cardio,99,0.1,0,0,0.94827883,0.859970124
cardio,99,0.1,0,0.02,0.767641997,0.624222809
cardio,99,0.1,0,0.04,0.792685026,0.610585007
cardio,99,0.1,0,0.06,0.6732358,0.501669394
cardio,99,0.1,0,0.08,0.863683305,0.522109263
cardio,99,0.1,0,0.1,0.768244406,0.374812848
cardio,101,0.1,0,0,0.983390706,0.938113952
cardio,101,0.1,0,0.02,0.942685026,0.87677902
cardio,101,0.1,0,0.04,0.817986231,0.702131391
cardio,101,0.1,0,0.06,0.921170396,0.774094365
cardio,101,0.1,0,0.08,0.878829604,0.661906124
cardio,101,0.1,0,0.1,0.873924269,0.636523673
cardio,135,0.1,0,0,0.910327022,0.701998694
cardio,135,0.1,0,0.02,0.864888124,0.648703538
cardio,135,0.1,0,0.04,0.858347676,0.556204735
cardio,135,0.1,0,0.06,0.875817556,0.674858169
cardio,135,0.1,0,0.08,0.776506024,0.487286065
cardio,135,0.1,0,0.1,0.735886403,0.464660728
cardio,145,0.1,0,0,0.938209983,0.810582279
cardio,145,0.1,0,0.02,0.722633391,0.504783232
cardio,145,0.1,0,0.04,0.725903614,0.478268859
cardio,145,0.1,0,0.06,0.69070568,0.483548015
cardio,145,0.1,0,0.08,0.691738382,0.433282338
cardio,145,0.1,0,0.1,0.599225473,0.465517569
cardio,165,0.1,0,0,0.960068847,0.857072333
cardio,165,0.1,0,0.02,0.956024096,0.741266682
cardio,165,0.1,0,0.04,0.823321859,0.4543794
cardio,165,0.1,0,0.06,0.844492255,0.385283709
cardio,165,0.1,0,0.08,0.783476764,0.456372606
cardio,165,0.1,0,0.1,0.661101549,0.299161165
cardio,200,0.1,0,0,0.933476764,0.912925611
cardio,200,0.1,0,0.02,0.900774527,0.821556105
cardio,200,0.1,0,0.04,0.875903614,0.692914043
cardio,200,0.1,0,0.06,0.9267642,0.797946291
cardio,200,0.1,0,0.08,0.802495697,0.646160117
cardio,200,0.1,0,0.1,0.825817556,0.637153693
