dataset_name,seed,anomalies_fraction,normalies_ratio,comtaination_ratio,roc_auc,roc_pr
satimage2,1,0.1,0,0,0.951550629,0.929789702
satimage2,1,0.1,0,0.02,0.918981193,0.478851899
satimage2,1,0.1,0,0.04,0.828434425,0.395073297
satimage2,1,0.1,0,0.06,0.818096899,0.48244429
satimage2,1,0.1,0,0.08,0.867480384,0.504207574
satimage2,1,0.1,0,0.1,0.898119317,0.553123777
satimage2,20,0.1,0,0,0.932556981,0.805679473
satimage2,20,0.1,0,0.02,0.785714286,0.458300335
satimage2,20,0.1,0,0.04,0.662411259,0.458603165
satimage2,20,0.1,0,0.06,0.829057168,0.68773761
satimage2,20,0.1,0,0.08,0.6129655,0.438007908
satimage2,20,0.1,0,0.1,0.663034002,0.454120857
satimage2,42,0.1,0,0,0.942583136,0.889775772
satimage2,42,0.1,0,0.02,0.859571553,0.100572572
satimage2,42,0.1,0,0.04,0.781853282,0.042785326
satimage2,42,0.1,0,0.06,0.718271267,0.176128318
satimage2,42,0.1,0,0.08,0.786897497,0.108873429
satimage2,42,0.1,0,0.1,0.816290945,0.094650257
satimage2,50,0.1,0,0,0.998754515,0.939289195
satimage2,50,0.1,0,0.02,0.712230664,0.431452324
satimage2,50,0.1,0,0.04,0.884792627,0.424038217
satimage2,50,0.1,0,0.06,0.93386474,0.522739826
satimage2,50,0.1,0,0.08,0.781728733,0.490140203
satimage2,50,0.1,0,0.1,0.856769212,0.576064528
satimage2,99,0.1,0,0,0.99121933,0.929554456
satimage2,99,0.1,0,0.02,0.91923029,0.676976875
satimage2,99,0.1,0,0.04,0.96531324,0.394171962
satimage2,99,0.1,0,0.06,0.950180595,0.632022456
satimage2,99,0.1,0,0.08,0.96107859,0.629955785
satimage2,99,0.1,0,0.1,0.980072238,0.679920984
satimage2,101,0.1,0,0,0.869846805,0.858907166
satimage2,101,0.1,0,0.02,0.635882426,0.499834754
satimage2,101,0.1,0,0.04,0.913750156,0.457314959
satimage2,101,0.1,0,0.06,0.86698219,0.133388173
satimage2,101,0.1,0,0.08,0.927699589,0.15327584
satimage2,101,0.1,0,0.1,0.710300162,0.307684033
satimage2,135,0.1,0,0,0.987731972,0.813424331
satimage2,135,0.1,0,0.02,0.901170756,0.828439729
satimage2,135,0.1,0,0.04,0.855336904,0.74203957
satimage2,135,0.1,0,0.06,0.848299913,0.697864873
satimage2,135,0.1,0,0.08,0.780234151,0.464943275
satimage2,135,0.1,0,0.1,0.838336032,0.530272829
satimage2,145,0.1,0,0,0.91294059,0.838913713
satimage2,145,0.1,0,0.02,0.875887408,0.534548695
satimage2,145,0.1,0,0.04,0.859696102,0.511165223
satimage2,145,0.1,0,0.06,0.763856022,0.565127314
satimage2,145,0.1,0,0.08,0.720201769,0.513610226
satimage2,145,0.1,0,0.1,0.855087807,0.523688538
satimage2,165,0.1,0,0,0.869161789,0.829579559
satimage2,165,0.1,0,0.02,0.686200025,0.438772871
satimage2,165,0.1,0,0.04,0.724311869,0.385918974
satimage2,165,0.1,0,0.06,0.588118072,0.298597048
satimage2,165,0.1,0,0.08,0.706750529,0.454780459
satimage2,165,0.1,0,0.1,0.668950056,0.352366138
satimage2,200,0.1,0,0,0.937850293,0.929524734
satimage2,200,0.1,0,0.02,0.804147465,0.041014517
satimage2,200,0.1,0,0.04,0.845746668,0.065085011
satimage2,200,0.1,0,0.06,0.927824138,0.185926852
satimage2,200,0.1,0,0.08,0.890895504,0.132264507
satimage2,200,0.1,0,0.1,0.844189812,0.073639121
