dataset_name,seed,anomalies_fraction,normalies_ratio,comtaination_ratio,roc_auc,roc_pr
thyroid,1,0.1,0,0,0.89902746,0.606178704
thyroid,1,0.1,0,0.02,0.925986842,0.748342222
thyroid,1,0.1,0,0.04,0.986055492,0.880124561
thyroid,1,0.1,0,0.06,0.892806064,0.637258126
thyroid,1,0.1,0,0.08,0.912328375,0.782778488
thyroid,1,0.1,0,0.1,0.953017735,0.743464323
thyroid,20,0.1,0,0,0.997926201,0.937502183
thyroid,20,0.1,0,0.02,0.943292334,0.83247664
thyroid,20,0.1,0,0.04,0.992133867,0.860593519
thyroid,20,0.1,0,0.06,0.952660183,0.862170105
thyroid,20,0.1,0,0.08,0.997354119,0.927589925
thyroid,20,0.1,0,0.1,0.995065789,0.889200813
thyroid,42,0.1,0,0,0.997926201,0.912161333
thyroid,42,0.1,0,0.02,0.995065789,0.864281908
thyroid,42,0.1,0,0.04,0.983695652,0.789257907
thyroid,42,0.1,0,0.06,0.938644165,0.63408042
thyroid,42,0.1,0,0.08,0.97354119,0.777792212
thyroid,42,0.1,0,0.1,0.978975973,0.754651437
thyroid,50,0.1,0,0,0.994493707,0.860915786
thyroid,50,0.1,0,0.02,0.979619565,0.620961942
thyroid,50,0.1,0,0.04,0.923770023,0.634916554
thyroid,50,0.1,0,0.06,0.974256293,0.647330216
thyroid,50,0.1,0,0.08,0.920051487,0.623199249
thyroid,50,0.1,0,0.1,0.919693936,0.645597897
thyroid,99,0.1,0,0,0.99284897,0.850341688
thyroid,99,0.1,0,0.02,0.990203089,0.80496443
thyroid,99,0.1,0,0.04,0.99528032,0.834728286
thyroid,99,0.1,0,0.06,0.991490275,0.712111016
thyroid,99,0.1,0,0.08,0.977760297,0.650472109
thyroid,99,0.1,0,0.1,0.993063501,0.75603435
thyroid,101,0.1,0,0,0.99756865,0.921099552
thyroid,101,0.1,0,0.02,0.986770595,0.661235806
thyroid,101,0.1,0,0.04,0.992205378,0.864401898
thyroid,101,0.1,0,0.06,0.981979405,0.788992826
thyroid,101,0.1,0,0.08,0.992634439,0.84300731
thyroid,101,0.1,0,0.1,0.984410755,0.865558405
thyroid,135,0.1,0,0,0.951802059,0.791348381
thyroid,135,0.1,0,0.02,0.856478833,0.474547736
thyroid,135,0.1,0,0.04,0.880148741,0.454745333
thyroid,135,0.1,0,0.06,0.895094394,0.50036595
thyroid,135,0.1,0,0.08,0.917691648,0.470126
thyroid,135,0.1,0,0.1,0.926844966,0.419228487
thyroid,145,0.1,0,0,0.991418764,0.877777574
thyroid,145,0.1,0,0.02,0.859124714,0.640387025
thyroid,145,0.1,0,0.04,0.895523455,0.66998128
thyroid,145,0.1,0,0.06,0.831378719,0.62516298
thyroid,145,0.1,0,0.08,0.768020595,0.58348278
thyroid,145,0.1,0,0.1,0.778032037,0.58777183
thyroid,165,0.1,0,0,0.988987414,0.8178374
thyroid,165,0.1,0,0.02,0.791404462,0.474051128
thyroid,165,0.1,0,0.04,0.854047483,0.555669516
thyroid,165,0.1,0,0.06,0.854834096,0.543437629
thyroid,165,0.1,0,0.08,0.861985126,0.623413045
thyroid,165,0.1,0,0.1,0.886084096,0.674984282
thyroid,200,0.1,0,0,0.965245995,0.726234939
thyroid,200,0.1,0,0.02,0.992562929,0.81320166
thyroid,200,0.1,0,0.04,0.982408467,0.711102549
thyroid,200,0.1,0,0.06,0.992920481,0.826599059
thyroid,200,0.1,0,0.08,0.993492563,0.857140212
thyroid,200,0.1,0,0.1,0.984196224,0.711872719
